X,Y,OBJECTID,DATE_,SITE,PROBE,TEMP_C,CONDUCTIVI,SP_CONDUCT,SALINITY,DISS_OXYGE,COMMENTS,UTM_E,UTM_N
-12917367.5293,3952583.1879,1,2008/07/07 00:00:00+00,North Desert Shores,4,32.7,64.7,56.9,37.8,5.3, ,589366,3699424
-12917367.5293,3952583.1879,2,2008/07/08 00:00:00+00,North Desert Shores,4,31.7,66.5,59,39.4,2, ,589366,3699424
-12918978.9415,3962128.9618,3,2008/07/08 00:00:00+00,Whitewater River,4,33.6,70.69,60.6,40.3,2.2, ,587948,3707343
-12906353.2527,3964286.9348,4,2008/07/09 00:00:00+00,North Shore,4,32.3,67.5,59.3,39.5,3.9, ,598465,3709237
-12918978.9415,3962128.9618,5,2008/07/09 00:00:00+00,Whitewater River,4,32.5,69.1,60.4,40.3,2, ,587948,3707343
-12906353.2527,3964286.9348,6,2008/07/10 00:00:00+00,North Shore,4,32.8,71.6,62.2,41.6,5.3, ,598465,3709237
-12895737.4548,3952891.3244,7,2008/07/15 00:00:00+00,Bat Caves,4,32,65,57.5,38.1,5.5, ,607427,3699864
-12895737.4548,3952891.3244,8,2008/07/16 00:00:00+00,Bat Caves,4,32.2,69.1,60.5,40.4,4.7, ,607427,3699864
-12886715.1589,3942739.9842,9,2008/07/16 00:00:00+00,The Cliffs,4,31.8,67.6,60,39.9,2.4, ,615062,3691509
-12870915.7261,3923476.2963,10,2008/07/17 00:00:00+00,Alamo River,4,30.5,64.5,58.5,38.9,3.6, ,628480,3675635
-12870894.0266,3935316.5046,11,2008/07/17 00:00:00+00,North Wister,4,31.2,66.3,59.3,39,2.5, ,628368,3685497
-12886715.1589,3942739.9842,12,2008/07/17 00:00:00+00,The Cliffs,4,31.2,68.1,60.9,40.7,1.3, ,615062,3691509
-12870915.7261,3923476.2963,13,2008/07/18 00:00:00+00,Alamo River,4,30.9,64.1,57.7,38.3,2.9, ,628480,3675635
-12908343.5215,3941190.3219,14,2008/07/21 00:00:00+00,The Dome,4,31.3,67,60,40.1,1.6, ,596997,3690022
-12898906.8272,3931692.0641,15,2008/07/22 00:00:00+00,South Salton City,4,31.1,68.6,61.4,41,2.2, ,604971,3682198
-12908343.5215,3941190.3219,16,2008/07/22 00:00:00+00,The Dome,4,30.7,67.7,61,40.8,1.7, ,596997,3690022
-12898906.8272,3931692.0641,17,2008/07/23 00:00:00+00,South Salton City,4,30.1,66.1,60.3,40.3,2.4, ,604971,3682198
-12879300.2081,3913176.1348,18,2008/07/31 00:00:00+00,New River,4,30.6,62.7,57,38,4, ,621567,3666958
-12894448.6437,3919637.7002,19,2008/07/31 00:00:00+00,Test Base,4,30.5,67.4,60.9,40.8,1.5, ,608813,3672196
-12894448.6437,3919637.7002,20,2008/08/01 00:00:00+00,Test Base,4,31.7,70.2,62.2,41.6,3.1, ,608813,3672196
-12918978.9415,3962128.9618,21,2008/04/02 00:00:00+00,Whitewater River,4.0,19.1,53.0,59.7,49.5,4.5, ,587948,3707343
-12918978.9415,3962128.9618,22,2008/04/03 00:00:00+00,Whitewater River,4.0,20.1,50.9,56.3,45.2,4.2, ,587948,3707343
-12906353.2527,3964286.9348,23,2008/04/02 00:00:00+00,North Shore,4.0,19.9,53.9,59.7,49.5,5.5, ,598465,3709237
-12906353.2527,3964286.9348,24,2008/04/03 00:00:00+00,North Shore,4.0,18.7,52.0,59.2,48.9,2.0, ,598465,3709237
-12895737.4548,3952891.3244,25,2008/04/10 00:00:00+00,Bat Caves,4.0,18.9,52.5,59.3,49.0,5.4, ,607427,3699864
-12895737.4548,3952891.3244,26,2008/04/11 00:00:00+00,Bat Caves,4.0,20.7,54.2,59.0,48.6,8.2, ,607427,3699864
-12917367.5293,3952583.1879,27,2008/04/14 00:00:00+00,North Desert Shores,4.0,20.0,52.7,58.3,47.7,4.4, ,589366,3699424
-12917367.5293,3952583.1879,28,2008/04/15 00:00:00+00,North Desert Shores,4.0,22.7,56.4,59.1,48.7,6.6, ,589366,3699424
-12908343.5215,3941190.3219,29,2008/04/15 00:00:00+00,The Dome,4.0,20.8,52.3,57.0,46.1,5.9, ,596997,3690022
-12908343.5215,3941190.3219,30,2008/04/16 00:00:00+00,The Dome,4.0,21.8,56.3,59.9,49.8,3.9, ,596997,3690022
-12886715.1589,3942739.9842,31,2008/04/17 00:00:00+00,The Cliffs,4.0,20.7,53.7,58.5,48.0,6.0, ,615062,3691509
-12886715.1589,3942739.9842,32,2008/04/18 00:00:00+00,The Cliffs,4.0,21.2,54.7,59.0,48.6,6.2, ,615062,3691509
-12879300.2081,3913176.1348,33,2008/04/21 00:00:00+00,New River,4.0,19.4,58.2,52.2,40.4,5.5, ,621567,3666958
-12879300.2081,3913176.1348,34,2008/04/22 00:00:00+00,New River,4.0,20.5,53.7,58.6,48.1,4.5, ,621567,3666958
